SAMPLE	DATASET	CONTINENT	SUBREGION	COUNTRY	POPULATION	GENOTYPING_METHOD
HOLAZARIDIS2016_SA1004	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_SA063	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_SA010	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_SA064	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_SA073	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_SA1025	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_SA078	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_SA083	HOLAZARIDIS2016	Africa	South_Africa	South_Africa	Khomani	Microarray
HOLAZARIDIS2016_Yuk_009	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Yuk_025	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Yuk_022	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Yuk_020	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_MC_40	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_Yuk_024	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Nesk_25	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Yuk_023	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_MC_16	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_MC_15	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_MC_18	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_Yuk_004	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_MC_08	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_Nov_005	HOLAZARIDIS2016	Asia	North_Asia	Russia	Nganasan	Microarray
HOLAZARIDIS2016_MC_25	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_Yuk_019	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Yuk_011	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Nesk_22	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Sesk_47	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_MC_17	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_Nesk_15	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Yuk_021	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_MC_06	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_MC_38	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_MC_14	HOLAZARIDIS2016	Asia	North_Asia	Russia	Chukchi	Microarray
HOLAZARIDIS2016_Nesk_23	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Ul5	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Ul31	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Ul65	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Tuba12	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba20	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nel19	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Nlk16	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Esk20	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Kor66	HOLAZARIDIS2016	Asia	North_Asia	Russia	Koryak	Microarray
HOLAZARIDIS2016_Ul6	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Ul33	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Tuba13	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba21	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba29	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nlk1	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Nlk18	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Esk29	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Kor30	HOLAZARIDIS2016	Asia	North_Asia	Russia	Koryak	Microarray
HOLAZARIDIS2016_Kor72	HOLAZARIDIS2016	Asia	North_Asia	Russia	Itelmen	Microarray
HOLAZARIDIS2016_Ul71	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Tuba6	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba22	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba30	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nlk3	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Nlk19	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Ul10	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Ul43	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Ul72	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Tuba15	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba23	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba31	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nlk5	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Ale9	HOLAZARIDIS2016	Asia	North_Asia	Russia	Aleut	Microarray
HOLAZARIDIS2016_Esk38	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Kor40	HOLAZARIDIS2016	Asia	North_Asia	Russia	Koryak	Microarray
HOLAZARIDIS2016_Ul44	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Ul74	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Tuba16	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba24	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nel13	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Nlk6	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Sir77	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Kor49	HOLAZARIDIS2016	Asia	North_Asia	Russia	Koryak	Microarray
HOLAZARIDIS2016_Ul19	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Tuba1	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba9	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba17	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba25	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nel15	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Nlk9	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Ale14	HOLAZARIDIS2016	Asia	North_Asia	Russia	Aleut	Microarray
HOLAZARIDIS2016_Sir14	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Kor54	HOLAZARIDIS2016	Asia	North_Asia	Russia	Koryak	Microarray
HOLAZARIDIS2016_Ckrd8	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Ul24	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Ul59	HOLAZARIDIS2016	Asia	North_Asia	Russia	Ulchi	Microarray
HOLAZARIDIS2016_Tuba2	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba10	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba18	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nel16	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Nlk10	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Ale16	HOLAZARIDIS2016	Asia	North_Asia	Russia	Aleut	Microarray
HOLAZARIDIS2016_Sir26	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Kor57	HOLAZARIDIS2016	Asia	North_Asia	Russia	Itelmen	Microarray
HOLAZARIDIS2016_Ckrd9	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Tuba11	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Tuba19	HOLAZARIDIS2016	Asia	North_Asia	Russia	Tubalar	Microarray
HOLAZARIDIS2016_Nel17	HOLAZARIDIS2016	Asia	North_Asia	Russia	Yukagir	Microarray
HOLAZARIDIS2016_Nlk14	HOLAZARIDIS2016	Asia	North_Asia	Russia	Even	Microarray
HOLAZARIDIS2016_Ale32	HOLAZARIDIS2016	Asia	North_Asia	Russia	Aleut	Microarray
HOLAZARIDIS2016_Sir61	HOLAZARIDIS2016	Asia	North_Asia	Russia	Eskimo	Microarray
HOLAZARIDIS2016_Kor61	HOLAZARIDIS2016	Asia	North_Asia	Russia	Koryak	Microarray
HOLAZARIDIS2016_HGDP00001	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00003	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00005	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00007	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00011	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00015	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00017	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00019	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00021	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00023	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00025	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00027	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00031	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00033	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00035	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00037	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00039	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00043	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00045	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00047	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00049	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Brahui	Microarray
HOLAZARIDIS2016_HGDP00052	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00054	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00056	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00058	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00062	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00064	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00066	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00068	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00072	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00074	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00078	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00080	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00082	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00086	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00088	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00090	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00092	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00094	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00096	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00098	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Balochi	Microarray
HOLAZARIDIS2016_HGDP00099	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00103	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00106	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00109	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00110	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00115	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00116	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00118	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00120	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00121	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00122	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00124	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00125	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00127	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Hazara	Microarray
HOLAZARIDIS2016_HGDP00131	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00133	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00134	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00135	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
HOLAZARIDIS2016_HGDP00136	HOLAZARIDIS2016	Asia	Middle_East	Pakistan	Makrani	Microarray
